Employee_id,Employee_name,date,In-time,out-time
12,sanya,23-02-2023,11:13,19:57
12,sanya,24-02-2023,05:19,17:40
12,sanya,25-02-2023,09:22,16:44
12,sanya,26-02-2023,,
12,sanya,27-02-2023,,
12,sanya,28-02-2023,11:14,20:53
12,sanya,01-03-2023,12:57,21:51
12,sanya,02-03-2023,09:05,15:07
12,sanya,03-03-2023,10:48,19:31
12,sanya,04-03-2023,07:38,18:50
12,sanya,05-03-2023,09:34,15:31
12,sanya,06-03-2023,05:52,22:13
12,sanya,07-03-2023,09:04,21:12
12,sanya,08-03-2023,10:53,21:42
12,sanya,09-03-2023,06:50,22:38
12,sanya,10-03-2023,09:57,22:09
12,sanya,11-03-2023,10:09,19:59
12,sanya,12-03-2023,,
12,sanya,13-03-2023,13:19,15:51
12,sanya,14-03-2023,10:48,22:31
12,sanya,15-03-2023,10:33,15:44
12,sanya,16-03-2023,,
12,sanya,17-03-2023,11:35,19:36
12,sanya,18-03-2023,05:17,15:42
12,sanya,19-03-2023,11:32,16:04
12,sanya,20-03-2023,,
12,sanya,21-03-2023,14:02,18:26
12,sanya,22-03-2023,12:20,17:08
12,sanya,23-03-2023,14:02,18:26
12,sanya,24-03-2023,11:30,22:46
