Employee_id,Employee_name,date,In-time,out-time
10,shagun,23-02-2023,07:55,21:25
10,shagun,24-02-2023,10:11,22:59
10,shagun,25-02-2023,,
10,shagun,26-02-2023,,
10,shagun,27-02-2023,09:16,18:20
10,shagun,28-02-2023,05:16,15:29
10,shagun,01-03-2023,13:45,17:08
10,shagun,02-03-2023,08:23,16:45
10,shagun,03-03-2023,08:12,17:03
10,shagun,04-03-2023,14:02,17:30
10,shagun,05-03-2023,06:29,21:30
10,shagun,06-03-2023,11:22,17:33
10,shagun,07-03-2023,12:18,16:29
10,shagun,08-03-2023,09:17,20:13
10,shagun,09-03-2023,05:02,21:15
10,shagun,10-03-2023,08:32,17:45
10,shagun,11-03-2023,05:15,18:28
10,shagun,12-03-2023,13:15,19:49
10,shagun,13-03-2023,09:16,15:54
10,shagun,14-03-2023,09:14,22:23
10,shagun,15-03-2023,05:23,15:09
10,shagun,16-03-2023,13:51,22:41
10,shagun,17-03-2023,06:02,19:37
10,shagun,18-03-2023,08:38,15:00
10,shagun,19-03-2023,09:02,22:22
10,shagun,20-03-2023,13:13,17:52
10,shagun,21-03-2023,09:39,20:14
10,shagun,22-03-2023,10:56,18:53
10,shagun,23-03-2023,12:26,15:44
10,shagun,24-03-2023,06:49,16:55
