Employee_id,Employee_name,date,In-time,out-time
4,aayush,23-02-2023,08:12,22:14
4,aayush,24-02-2023,05:49,20:00
4,aayush,25-02-2023,14:46,15:36
4,aayush,26-02-2023,07:31,19:58
4,aayush,27-02-2023,06:29,20:17
4,aayush,28-02-2023,08:03,16:25
4,aayush,01-03-2023,05:31,15:04
4,aayush,02-03-2023,10:46,18:35
4,aayush,03-03-2023,08:47,16:37
4,aayush,04-03-2023,,
4,aayush,05-03-2023,,
4,aayush,06-03-2023,,
4,aayush,07-03-2023,14:59,15:08
4,aayush,08-03-2023,07:37,22:43
4,aayush,09-03-2023,05:12,21:58
4,aayush,10-03-2023,05:18,21:39
4,aayush,11-03-2023,,
4,aayush,12-03-2023,13:07,15:49
4,aayush,13-03-2023,08:40,20:27
4,aayush,14-03-2023,06:40,19:15
4,aayush,15-03-2023,,
4,aayush,16-03-2023,12:36,20:33
4,aayush,17-03-2023,08:09,16:59
4,aayush,18-03-2023,05:49,20:12
4,aayush,19-03-2023,,
4,aayush,20-03-2023,11:54,15:25
4,aayush,21-03-2023,,
4,aayush,22-03-2023,07:19,21:24
4,aayush,23-03-2023,07:35,15:28
4,aayush,24-03-2023,11:41,18:55
